2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Player Name,Period Name,Activity Name,Period Name2,Total Duration,Total Distance,HSR,Acceleration B1-3 Total Efforts (Gen 2),Maximum Velocity,Tackles Total (Band1-Band3)
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Carlos Augusto Cabano,PRIMER TIEMPO,PARTIDO VS LPRC 1°RONDA,PRIMER TIEMPO,00:47:24,2472.34,64.18,13,6.4,25
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Eliseo Chiavassa,PRIMER TIEMPO,PARTIDO VS LPRC 1°RONDA,PRIMER TIEMPO,00:47:24,2849.58,119.07,18,6.46,33
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Matias Cordero,PRIMER TIEMPO,PARTIDO VS LPRC 1°RONDA,PRIMER TIEMPO,00:47:24,2963.51,73.82,25,6.06,11
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Mateo Fernandez A.,PRIMER TIEMPO,PARTIDO VS LPRC 1°RONDA,PRIMER TIEMPO,00:47:24,3397.99,274.02,26,7.18,6
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Tomas Fernandez A.,PRIMER TIEMPO,PARTIDO VS LPRC 1°RONDA,PRIMER TIEMPO,00:47:24,4123.56,303.06,38,7.73,12
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Bautista Gatti,PRIMER TIEMPO,PARTIDO VS LPRC 1°RONDA,PRIMER TIEMPO,00:47:24,2704.55,55.81,14,7.11,30
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Ignacio Guichón,PRIMER TIEMPO,PARTIDO VS LPRC 1°RONDA,PRIMER TIEMPO,00:47:24,3183.88,224.81,27,8.06,10
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Juan Ignacio Lago,PRIMER TIEMPO,PARTIDO VS LPRC 1°RONDA,PRIMER TIEMPO,00:47:24,1809.88,50.35,14,6.36,18
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Alfonso Lopez F.,PRIMER TIEMPO,PARTIDO VS LPRC 1°RONDA,PRIMER TIEMPO,00:47:24,3760.62,302.34,33,7.46,4
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Pedro Rodriguez A.,PRIMER TIEMPO,PARTIDO VS LPRC 1°RONDA,PRIMER TIEMPO,00:47:24,3100.36,121.41,35,6.31,26
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Hipólito San Sebastián,PRIMER TIEMPO,PARTIDO VS LPRC 1°RONDA,PRIMER TIEMPO,00:47:24,2973.52,169.72,23,7.05,35
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Marcos Albina,SEGUNDO TIEMPO,PARTIDO VS LPRC 1°RONDA,SEGUNDO TIEMPO,00:47:42,3558.82,236.02,29,7.42,34
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Adriel Armenti,SEGUNDO TIEMPO,PARTIDO VS LPRC 1°RONDA,SEGUNDO TIEMPO,00:47:42,2326.04,52.03,12,5.68,26
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Felipe Bares,SEGUNDO TIEMPO,PARTIDO VS LPRC 1°RONDA,SEGUNDO TIEMPO,00:47:42,2787.13,23.97,13,5.87,27
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Thiago Bassagaisteguy,SEGUNDO TIEMPO,PARTIDO VS LPRC 1°RONDA,SEGUNDO TIEMPO,00:47:42,3469.86,237.71,31,8.03,15
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Carlos Augusto Cabano,SEGUNDO TIEMPO,PARTIDO VS LPRC 1°RONDA,SEGUNDO TIEMPO,00:47:42,2634.86,37.65,15,5.53,25
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Eliseo Chiavassa,SEGUNDO TIEMPO,PARTIDO VS LPRC 1°RONDA,SEGUNDO TIEMPO,00:47:42,2968.22,93.34,16,6.34,33
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Mateo Fernandez A.,SEGUNDO TIEMPO,PARTIDO VS LPRC 1°RONDA,SEGUNDO TIEMPO,00:47:42,3592.98,180.34,30,7.99,5
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Tomas Fernandez A.,SEGUNDO TIEMPO,PARTIDO VS LPRC 1°RONDA,SEGUNDO TIEMPO,00:47:42,4112.62,383.58,39,7.82,21
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Ignacio Guichón,SEGUNDO TIEMPO,PARTIDO VS LPRC 1°RONDA,SEGUNDO TIEMPO,00:47:42,3701.34,284.39,28,8.89,11
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Ivan Korenblit,SEGUNDO TIEMPO,PARTIDO VS LPRC 1°RONDA,SEGUNDO TIEMPO,00:47:42,2114.01,102.92,18,6.04,21
